,ID,community,CPDB,NicheNet
168,TAC4_TACR3,True,False,True
169,LAMA1_LIFR,False,False,True
170,COL4A4_ITGB8,True,False,False
171,RLN3_NPY2R,False,False,True
172,NENF_GRM1,False,False,True
173,CXCL12_HCAR1,False,False,True
174,CXCL12_CCR2,False,False,True
175,PDYN_FPR2,False,False,True
176,CDON_PTCH2,False,True,False
177,EFNB2_KIR2DS3,True,False,False
178,TNFSF13_TNFRSF11B,True,False,True
179,PYY_TAS2R10,False,False,True
180,ANG_PLXNB2,True,False,False
181,GPHA2_FAT1,False,False,True
182,GHRL_AVPR1B,False,False,True
183,KISS1_NTSR1,False,False,True
184,QRFP_CCKAR,False,False,True
185,POMC_NMUR1,False,False,True
186,WNT8A_SFRP2,False,True,False
187,GIP_RXFP1,False,False,True
188,ADCYAP1_AVPR2,False,False,True
189,TNF_NOTCH1,True,True,False
190,CALCA_RXFP1,False,False,True
191,MMP14_CD44,True,False,False
192,GIP_DRD5,False,False,True
193,CCL19_ACKR3,False,False,True
194,SAA1_TAS2R40,False,False,True
195,KNG1_EDNRB,False,False,True
196,SST_C5AR1,False,False,True
197,FN1_MTNR1A,False,False,True
198,CALCA_GPR150,False,False,True
199,ITGAM_ICAM2,False,False,True
200,WNT5B_WIF1,False,True,False
201,C5_CXCR1,False,False,True
202,GREM1_FLT1,False,False,True
203,UTS2B_NMUR1,False,False,True
204,CXCL5_OPRM1,False,False,True
205,CXCL5_TAS2R40,False,False,True
206,LAMB1_SDC1,False,False,True
207,CCL19_TAS2R3,False,False,True
208,POMC_RXFP2,False,False,True
209,MS4A4A_NRG1,False,True,False
210,CXCL13_NPY4R,False,False,True
211,EDN1_BDKRB1,False,False,True
212,TIMP3_MET,True,False,False
213,IAPP_MC1R,False,False,True
214,CCL16_CCR1,True,True,True
215,CD79A_VSIG8,True,False,False
216,CCL7_CCR2,True,True,True
217,NMU_OXTR,False,False,True
218,PF4_BDKRB2,False,False,True
219,DSG1_GRIN2B,False,False,True
220,GRP_HCRTR2,False,False,True
221,NPB_HTR1A,False,False,True
222,ALDH1A3_RORB,False,True,False
223,PMCH_HCRTR2,False,False,True
224,PNOC_HTR1B,False,False,True
225,PYY_S1PR1,False,False,True
226,SST_TAS2R3,False,False,True
227,CORT_CCR4,False,False,True
228,LEFTY2_GDF1,True,False,False
229,PNOC_SSTR1,False,False,True
230,XCL1_LPAR5,False,False,True
231,EGFR_ERBB2,True,False,False
232,TFF1_FCRL4,True,True,False
233,JAG2_PCDH7,False,False,True
234,PPY_BDKRB1,False,False,True
235,UTS2_GPR65,False,False,True
236,TPH1_HTR1E,True,False,True
237,NLGN4X_MDGA1,True,False,False
238,CALCA_RXFP2,False,False,True
239,WNT7A_FZD1,True,True,True
240,XCL2_CCKBR,False,False,True
241,SEMA3A_PLXNA1,True,False,True
242,TPH1_HTR7,True,False,True
243,CCL5_CXCR5,False,False,True
244,GCG_TACR2,False,False,True
245,B2M_LILRB2,True,False,False
246,NPFF_NTSR2,False,False,True
247,CSF2RB_ILDR2,True,False,False
248,EFNA1_EPHB1,True,False,True
249,CCL25_CCR6,False,False,True
250,COL4A2_DDR2,True,False,False
251,PCDHGB1_PCDHAC2,False,False,True
