,ID,community,CPDB,NicheNet
627,CD4,True,False,True
628,HFE,True,True,False
629,FGF13,True,False,True
630,EPHA2,True,True,True
631,XPR1,False,True,False
632,SIGLEC15,False,True,False
633,PLA2G10,True,False,False
634,CHRNB4,True,True,False
635,FCRL1,True,False,False
636,FCN2,True,False,False
637,PI3,True,False,False
638,PIGA,True,False,False
639,CSF2RB,True,True,True
640,CHRNA10,True,False,False
641,CR2,True,True,False
642,PIP,True,False,False
643,ADM,True,True,True
644,CRABP2,False,True,False
645,FGF18,True,True,True
646,SFRP1,True,True,False
647,IL20RA,True,True,True
648,IL36B,True,True,False
649,IHH,True,True,True
650,MPL,True,True,True
651,CLCF1,True,True,True
652,LRRC4B,True,False,True
653,GRM7,True,False,False
654,MICA,True,True,False
655,PTPN11,True,False,False
656,TLR9,True,False,False
657,TNFRSF8,True,True,True
658,MPIG6B,True,False,False
659,IL7R,True,True,True
660,MRC2,True,True,False
661,ADA,True,False,False
662,KCNQ3,True,False,False
663,COL4A1,True,True,True
664,CCL27,True,True,True
665,MTNR1B,True,True,True
666,IL17RE,True,True,True
667,TMED5,True,False,False
668,NRXN3,True,False,True
669,PTGIR,True,True,False
670,HMMR,True,False,True
671,RXRB,False,True,False
672,TRPC5,True,False,False
673,C4A,True,True,False
674,LILRA1,True,False,False
675,GRIN2B,True,True,False
676,S100A10,True,False,False
677,ADORA2A,True,True,False
678,CATSPER3,False,True,False
679,GNRH1,True,True,True
680,CCL24,True,True,True
681,NR3C2,False,True,False
682,GH2,True,True,True
683,DRD2,True,True,False
684,AQP6,True,False,False
685,GRP,True,True,True
686,ESR1,True,True,False
687,LIF,True,True,True
688,CNR1,True,True,False
689,MUC1,True,False,False
690,APOB,True,True,True
691,PPIA,False,True,False
692,ADAM15,True,False,True
693,HSD17B6,False,True,False
694,GCGR,True,True,True
695,TFF2,True,False,False
696,CLDN4,True,False,False
697,CANX,True,False,False
698,CYTL1,True,False,False
699,ITGA4,True,True,True
700,CADM1,True,True,True
701,THBD,True,True,True
702,SIGLEC1,True,True,True
703,EFNA4,True,True,True
704,DSG3,True,False,False
705,PPARD,False,True,False
706,TIMP1,True,True,False
707,KMT2E,True,False,False
708,MIP,True,False,False
709,AKR1B1,False,True,False
710,KLB,True,True,False
711,IFNGR1,True,True,True
712,LTC4S,False,True,False
713,ADRA1A,False,True,False
714,ICAM1,True,True,True
715,FGF9,True,True,True
716,CSF2,True,True,True
717,FGFR3,True,True,True
718,IL32,True,False,False
719,CXCL16,True,True,True
720,DPEP1,False,True,False
721,SERTAD1,True,False,False
722,CADM3,True,True,True
723,COL24A1,False,True,False
724,LYPD3,True,False,False
725,FGF1,True,True,True
726,CXCL17,True,True,False
727,REN,True,True,True
728,FPR3,True,True,True
729,CDH1,True,True,True
730,WNT5B,True,True,False
731,CHRM3,True,True,False
732,F2,True,True,True
733,CXCL5,True,True,True
734,HLA-DRA,True,False,True
735,KISS1,True,True,True
736,SDK2,True,False,False
737,GPER1,False,True,False
738,PLXNA1,True,True,True
739,INS,True,True,True
740,MAS1,True,False,True
741,CXCL3,True,True,True
742,TNFSF13,True,True,True
